,time,prophet_pred,arima_pred,values,precinct_number
127,2024-02-01,3467.5821620377724,4051.653108530704,,30
128,2024-03-01,4167.191187633434,4051.653108530704,,30
129,2024-04-01,3368.324886906681,4051.653108530704,,30
130,2024-05-01,3769.2671469649695,4051.653108530704,,30
131,2024-06-01,2857.433415172383,4051.653108530704,,30
108,2022-07-01,5917.695583344037,6286.880484232569,7403.0,32
109,2022-08-01,6862.150088014942,7058.260867935415,6815.0,32
110,2022-09-01,6681.574301716379,7062.268900733036,6945.0,32
111,2022-10-01,6942.399571636213,6605.069849042582,6945.0,32
112,2022-11-01,6492.532893471747,6897.251666421887,6132.0,32
113,2022-12-01,5913.865027403029,6472.559633696695,5815.0,32
114,2023-01-01,6697.038639885577,5986.04978479574,5924.0,32
115,2023-02-01,5880.853014554469,6241.725552440501,5798.0,32
116,2023-03-01,7034.935372644446,6212.796447633444,6576.0,32
117,2023-04-01,6268.836507079584,6465.287548115738,4973.0,32
118,2023-05-01,6229.892317961928,5723.083447358139,4962.0,32
119,2023-06-01,5294.8994625179885,5190.507012507749,4923.0,32
